price,unit_price,bedroom,hall,chicken,washroom,floor,building_size,house_structu	re,building_type,building_structure,fitment,pro_limit,pro_owner,pledge,replacement,heating,transaction_owner,house_use
880000.0,10000,2,2,1,1,0,88,0,0,0,1,70,0,0,1,0,0,0
640000.0,8075,2,2,1,1,0,79.26,0,2,0,2,70,1,0,1,0,0,0
1600000.0,17978,2,2,1,1,0,89,0,0,0,1,70,1,1,0,0,0,0
135000.0,4938,1,0,1,1,2,27.34,0,0,0,1,70,1,0,1,0,0,0
1700000.0,18001,2,1,1,1,2,94.44,0,0,0,1,50,0,1,1,0,0,0
590000.0,8310,2,2,1,1,1,71,0,0,0,1,70,1,0,1,0,0,0
880000.0,8920,2,2,1,1,0,98.66,0,0,2,1,70,0,0,1,0,0,0
1300000.0,8356,3,2,1,2,1,155.59,0,2,0,1,70,1,0,0,0,0,0
1050000.0,11817,2,1,1,1,1,88.86,0,0,0,1,50,0,0,1,0,0,0
860000.0,8450,3,2,1,2,2,101.78,0,0,0,2,70,0,0,1,0,0,0
960000.0,8459,3,2,1,1,1,113.49,0,0,0,0,50,1,0,1,0,0,0
1000000.0,11735,2,2,1,1,2,85.22,0,0,0,1,70,1,1,1,0,0,0
1200000.0,12280,2,2,1,1,1,97.72,0,0,0,1,70,0,1,0,0,0,0
390000.0,7648,1,1,1,1,0,51,0,0,4,0,70,0,0,1,0,0,0
980000.0,12912,2,1,1,1,2,75.9,0,0,0,1,70,1,1,1,0,0,0
488000.0,4600,3,1,1,1,2,106.1,0,0,4,0,70,1,0,0,0,0,0
1280000.0,15422,2,2,1,1,2,83,0,0,4,1,70,1,0,0,0,0,0
1120000.0,8757,2,2,1,1,1,127.9,1,0,0,0,70,0,1,0,0,0,0
330000.0,5187,2,1,1,1,2,63.63,0,0,4,0,70,1,0,0,0,0,0
1070000.0,11272,2,2,1,1,2,94.93,0,0,0,1,50,0,1,0,0,0,0
740000.0,10419,2,1,1,1,1,71.03,0,0,0,0,70,1,0,0,0,0,0
930000.0,9944,2,1,1,1,2,93.53,0,0,0,1,50,1,0,0,0,0,0
900000.0,11087,2,1,1,1,0,81.18,0,1,0,1,50,0,0,1,0,0,0
1050000.0,13973,3,1,1,1,1,75.15,0,0,0,1,70,1,0,1,0,0,0
750000.0,24992,1,1,1,1,0,30.01,0,0,0,1,70,0,0,0,0,0,0
1140000.0,12863,2,2,1,1,0,88.63,0,0,0,1,70,1,1,1,0,0,0
940000.0,9895,2,1,1,1,2,95,0,0,0,2,50,0,0,0,0,0,0
2550000.0,14907,3,2,1,2,1,171.07,0,0,0,2,70,1,1,0,0,0,0
900000.0,11575,2,2,1,1,1,77.76,0,0,0,2,70,1,0,1,0,0,0
2100000.0,22492,2,2,1,1,2,93.37,0,0,4,1,70,0,0,0,0,0,0
1630000.0,13524,3,2,1,2,2,120.53,0,0,4,1,50,1,0,0,0,0,0
